"","Latitude","Longitude","Species","Date Observed","Site"
"322",32.3374736,-110.9821871,"Battus philenor","11/26/2016","iNat"
"323",32.338168,-110.9773523,"Danaus gilippus","11/26/2016","iNat"
"324",32.3380812,-110.9773932,"Strymon istapa","11/26/2016","iNat"
"325",32.2320008,-110.9510827,"Brephidium exilis","11/30/2016","iNat"
"326",32.2320148,-110.9507567,"Brephidium exilis","11/30/2016","iNat"
"327",32.23189069,-110.9509924,"Phoebis sennae","11/30/2016","iNat"
"328",32.23186626,-110.950903,"Brephidium exilis","11/30/2016","iNat"
"329",32.23181758,-110.9509963,"Phoebis sennae","11/30/2016","iNat"
"330",32.2315935,-110.9509896,"Phoebis sennae","11/30/2016","iNat"
"331",32.23190887,-110.9509203,"Phoebis sennae","11/30/2016","iNat"
"332",32.23186928,-110.9509565,"Phoebis sennae","11/30/2016","iNat"
"333",32.2301624,-110.951921,"Echinargus isola","11/30/2016","iNat"
"334",32.23042218,-110.9520291,"Danaus gilippus","11/30/2016","iNat"
"335",32.2302149,-110.9521072,"Danaus gilippus","11/30/2016","iNat"
"336",32.23046042,-110.9520293,"Danaus gilippus","11/30/2016","iNat"
"337",32.243456,-111.1675229,"Battus philenor","12/2/2016","iNat"
"338",32.33833313,-110.9786148,"Phoebis agarithe","12/3/2016","iNat"
"339",32.2814837,-110.7296696,"Atlides halesus","1/1/2017","iNat"
"340",32.2434321,-111.1677441,"Danaus plexippus","1/2/2017","iNat"
"341",32.18913919,-111.0016788,"Danaus plexippus","1/3/2017","iNat"
"342",32.24256167,-111.1675033,"Abaeis nicippe","1/10/2017","iNat"
"343",32.243245,-111.1674733,"Danaus plexippus","1/10/2017","iNat"
"344",32.24314167,-111.1678667,"Erynnis funeralis","1/10/2017","iNat"
"345",32.242555,-111.1675283,"Abaeis nicippe","1/10/2017","iNat"
"346",32.248523,-110.908785,"Danaus gilippus","1/23/2017","iNat"
"347",32.26203912,-111.0311134,"Danaus plexippus","2/16/2017","iNat"
"348",32.3100666,-110.8222067,"Nymphalis antiopa","2/21/2017","iNat"
"349",32.25935,-111.0149695,"Danaus gilippus","2/23/2017","iNat"
"350",32.248523,-110.908785,"Anthanassa texana","2/28/2017","iNat"
"351",32.248523,-110.908785,"Pieris rapae","2/28/2017","iNat"
"352",32.31807167,-110.805795,"Dymasia dymas","3/3/2017","iNat"
"353",32.24845914,-111.1666524,"Heliopetes domicella","3/4/2017","iNat"
"354",32.248523,-110.908785,"Anthanassa texana","3/14/2017","iNat"
"355",32.24350278,-111.1675333,"Anthanassa texana","3/18/2017","iNat"
"356",32.32126093,-110.9863339,"Papilio rumiko","3/20/2017","iNat"
"357",32.32121081,-110.9863361,"Hylephila phyleus","3/20/2017","iNat"
"358",32.32239652,-110.9858892,"Papilio rumiko","3/20/2017","iNat"
"359",32.32239144,-110.9858711,"Papilio rumiko","3/20/2017","iNat"
"360",32.3100666,-110.8222067,"Asterocampa leilia","3/21/2017","iNat"
"361",32.22408667,-110.7674033,"Papilio rumiko","3/25/2017","iNat"
"362",32.248523,-110.908785,"Anthanassa texana","3/26/2017","iNat"
"363",32.244013,-111.168174,"Libytheana carinenta","3/27/2017","iNat"
"364",32.3100666,-110.8222067,"Vanessa atalanta","3/28/2017","iNat"
"365",32.3100666,-110.8222067,"Battus philenor","3/28/2017","iNat"
"366",32.2312765,-110.9665439,"Agraulis vanillae","4/8/2017","iNat"
"367",32.231277,-110.966544,"Agraulis vanillae","4/8/2017","iNat"
"368",32.2328753,-110.900335,"Callophrys gryneus","4/9/2017","iNat"
"369",32.2328753,-110.900335,"Vanessa cardui","4/9/2017","iNat"
"370",32.2328753,-110.900335,"Hylephila phyleus","4/9/2017","iNat"
"371",32.2328753,-110.900335,"Pontia protodice","4/9/2017","iNat"
"372",32.25953333,-111.0149917,"Papilio rumiko","4/9/2017","iNat"
