observed_on_string,observed_on,tag_list,description,captive_cultivated,oauth_application_id,latitude,longitude,geoprivacy,taxon_geoprivacy,positioning_method,scientific_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013466",FALSE,,32.369784,-110.706139,,,,Microtheoris ophionalis,Insecta,225149,Microtheoris,Microtheoris ophionalis
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Synchlora frondaria,Insecta,207924,Synchlora,Synchlora frondaria
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013456",FALSE,,32.369784,-110.706139,,,,Mimoschinia rufofascialis,Insecta,325590,Mimoschinia,Mimoschinia rufofascialis
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Plodia interpunctella,Insecta,124184,Plodia,Plodia interpunctella
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013465",FALSE,,32.369784,-110.706139,,,,Etiella zinckenella,Insecta,126738,Etiella,Etiella zinckenella
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Chionodes dentella,Insecta,362573,Chionodes,Chionodes dentella
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013385",FALSE,,32.369784,-110.706139,,,,Agathodes designalis,Insecta,324817,Agathodes,Agathodes designalis
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013431",FALSE,,32.369784,-110.706139,,,,Grotella tricolor,Insecta,367118,Grotella,Grotella tricolor
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Loxostege albiceralis,Insecta,362354,Loxostege,Loxostege albiceralis
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013437",FALSE,,32.369784,-110.706139,,,,Prolimacodes trigona,Insecta,367285,Prolimacodes,Prolimacodes trigona
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013449",FALSE,,32.369784,-110.706139,,,,Ethmia hodgesella,Insecta,367284,Ethmia,Ethmia hodgesella
